user_id,signup_date,last_active_date
U001,2024-01-01,2024-02-15
U002,2024-01-02,2024-01-25
U003,2024-01-03,2024-01-10
U004,2024-01-04,2024-02-01
U005,2024-01-05,2024-01-19
U006,2024-01-06,2024-01-06
U007,2024-01-07,2024-01-28
U008,2024-01-01,2024-01-14
U009,2024-01-02,2024-02-10
U010,2024-01-03,2024-01-03
U011,2024-01-04,2024-01-22
U012,2024-01-05,2024-02-05
U013,2024-01-06,2024-01-15
U014,2024-01-07,2024-01-07
U015,2024-01-08,2024-02-12
U016,2024-01-09,2024-01-20
U017,2024-01-10,2024-01-10
U018,2024-01-11,2024-01-30
U019,2024-01-08,2024-01-18
U020,2024-01-09,2024-02-08
U021,2024-01-10,2024-01-10
U022,2024-01-11,2024-01-25
U023,2024-01-12,2024-01-19
U024,2024-01-13,2024-02-03
U025,2024-01-14,2024-01-14
U026,2024-01-08,2024-01-22
U027,2024-01-15,2024-02-14
U028,2024-01-16,2024-01-28
U029,2024-01-17,2024-01-17
U030,2024-01-18,2024-02-01
U031,2024-01-15,2024-01-20
U032,2024-01-16,2024-01-16
U033,2024-01-17,2024-02-10
U034,2024-01-18,2024-01-30
U035,2024-01-19,2024-01-26
U036,2024-01-20,2024-01-20
U037,2024-01-21,2024-01-21
U038,2024-01-15,2024-01-25
U039,2024-01-22,2024-02-08
U040,2024-01-23,2024-01-30
U041,2024-01-24,2024-01-24
U042,2024-01-22,2024-02-05
U043,2024-01-23,2024-01-23
U044,2024-01-24,2024-02-01
U045,2024-01-25,2024-01-31
U046,2024-01-26,2024-01-26
U047,2024-01-22,2024-01-29
U048,2024-01-27,2024-02-10
U049,2024-01-28,2024-02-03
U050,2024-01-23,2024-01-30
